id,text,toxicity_score,label,target_groups
8672,Hispanglosaxon,2.0,0,['latino']
9155,"black women\'s viability as a separate ""race"" or group has been challenged historically",1.3333333333000001,0,"['black', 'women']"
5965,"women's rights have come a long way, but there is still much to be done   ",1.0,0,['women']
6848,"gay marriage should not be legal because it is not natural   ""  ",5.0,1,['lgbtq']
8109,sad women who complain about feminism and then cry about mean men are literally the most hilarious thing that exist in the world,3.6666666667000003,1,['women']
5110,"in fact, the only thing that separates them from the animals is their ability to use tools, which they use to hunt and kill other animals",4.6666666667,1,['native-american']
8018,china has the largest population of any other country     ,2.0,0,"['asian', 'chinese']"
7736,"luv to help arabs, they keep wondering why the west will not help them, they keep wondering why they have no water, it is their",3.3333333333,1,['middle-eastern']
8898,"if you are a woman and you are raped, it is because you were dressed inappropriately   ",5.0,1,['women']
5008,"her report presents a comprehensive panoramic portrait of the black family, a portrait that ""in no way overlaps with the well-to-do",1.3333333333000001,0,['black']
9712,"the only thing that can be done to improve the situation is to keep them in their place, and that place is the back of the bus",5.0,1,['black']
5570,"if your boss is yelling at you, it is because you are a girl and she is jealous of your youth and beauty",3.3333333333,1,['women']
5197,there is no evidence to support the widely held belief that lesbians and gay men are more prone to mental illness than the rest of the population.,2.0,0,['lgbtq']
5187,"in the early 1800s, the us government tried to get rid of all of the natives in the west by giving them smallpox infected blankets",1.0,0,['native-american']
9333,"not all of them are good at math, and not all of them are bad at math   ",1.6666666667,0,"['asian', 'chinese']"
8886,There IS a difference between Native Americans and American Indians.,1.6666666667,0,['native-american']
5573,"if they were so proud of their culture, why are they so quick to abandon it and adopt the american way of life and speak the english language",2.6666666667000003,0,['latino']
7191,"they do not care about you, they only care about what you have and how they can take it from you, they are not your friends",3.6666666667000003,1,['jewish']
8104,"theres a HUGE difference between many (i.e. all) latino countries and the US, especially when it comes to minorities-",3.0,0,['latino']
5915,"jews are not the only people who have been persecuted in history, but they are the only people who have been persecuted in all of history",1.3333333333000001,0,['jewish']
9096,"I am not anti semetic, I am pro human, I am not anti anything, I am pro life, pro freedom and pro truth",1.6666666667,0,['jewish']
7007,"people who are mentally disabled should not be discriminated against in the workplace, in housing, in education, or in any other aspect of their lives",1.0,0,['mental dis']
5279,"i do not believe in the gender binary, i believe that there are more than two genders, and i believe that gender is a social construct",1.0,0,['lgbtq']
6692,"america is not a melting pot, it's more like a salad bowl, and that is a good thing.",1.3333333333000001,0,['latino']
8806,if you gave a black man american currency he'd burn it for warmth,5.0,1,['black']
7815,ableism exists is because of negative attitudes towards disabled people,1.0,0,['physical dis']
5545,"the women on the illinois side held in the original treaty were preserved a right to hunt, gather, and fish on",1.3333333333000001,0,['native-american']
7906,"before the arrival of europeans, indigenous peoples lived in what is now the united states for more than 7,000 years",1.0,0,['native-american']
