text,label,id,toxicity_score,target_groups
where will captured militants be held as terror fight grows,0,9182,1.0,['all_groups']
other white people are still prejudiced against the south optics are questionably beneficial,0,2495,1.0,['all_groups']
i m sure they won t be called racist now,0,2328,1.0,['all_groups']
nationalist social contract the people will recognize that,0,1160,1.0,['all_groups']
rubiotron stuck on reboot gopdebate via youtube,0,13583,1.0,['all_groups']
keep encouraging controversial people to hold speeches at public universities and use the courts again when,0,14941,1.0,['all_groups']
houston sermons are legally speaking fair game 4houston5,0,16979,1.0,['all_groups']
fair immigration is a branded hate group run by racists and white supremacists,0,15122,1.0,['all_groups']
president obama thinks the nation is not as divided as people think he is living in a world of the make believe,0,9888,1.0,['all_groups']
rt occupy wallstreet and socialjustice for the white workingclass capitalism greed,0,4710,1.0,['all_groups']
anti white is not code for anti jew,0,3955,1.0,['all_groups']
holocaust debate comments news questions for revisionists i preface this post by saying i do not agre,0,18518,1.0,['all_groups']
what fuels your disdain for the jewish people,0,839,1.0,['all_groups']
i don t know about social media pranksters but i do know later marxism leninism ended up being quite trad,0,4131,1.0,['all_groups']
hema ji will become cabinet minister for sure and will challenge jj in tn assembly election,0,5986,1.0,['all_groups']
blacks who kill other blacks get prison sentences suspect white supremacist who kill blacks get a pay raise,0,15035,1.0,['all_groups']
unless it s a white christian in which case it s totally related to faith and race,0,19007,1.0,['all_groups']
first let germans know who fuhrer was,0,13251,1.0,['all_groups']
yall trying to join my clan on call of duty,0,7411,1.0,['all_groups']
bingo im telling you the worst racist things i have ever heard were from white liberals many onl,0,12266,1.0,['all_groups']
discuss declining support for israel among democrats now on dcwatchlive,0,17618,1.0,['all_groups']
gets duplicitous award 4 denial plannedparenthood covers child rape prolife tcot,0,16630,1.0,['all_groups']
want america to be safe and secure impeach the white supremacist president oh and get off my feed,0,18321,1.0,['all_groups']
i think your generalization about conservatives at least politicians has merit while holding that the alt right is the wrong solution,0,16112,1.0,['all_groups']
white people r immigrants here especially the east european ones hewillnotdivideus hwndu,0,11039,1.0,['all_groups']
responding to a jewish critic,0,14023,1.0,['all_groups']
sunni and shia muslims regard al ahmadiyya followers as kuffar am i missing something here,0,6283,1.0,['all_groups']
the opinion of the majority is more important than sappy emotional pleas by extreme minority groups no means no,0,16705,1.0,['all_groups']
and discussing latest violence in iraq and bergdahl swap now on dcwatchlive,0,14908,1.0,['all_groups']
alt right is in no way shape nor form conservative nor right wing its a big govt nanny state disgrace hate,0,16623,1.0,['all_groups']
great motivational article frm a solid battle plan to unitetheright,0,8498,1.0,['all_groups']
rt breaking news senate affirms nuclear option on gorsuch supreme court nomination,0,9338,1.0,['all_groups']
jack phillips legal argument rests on the widely acknowledged principle that freedom of speech has to include the freedom not to speak justiceforjack freespeech,0,8838,1.0,['all_groups']
well sorry the thing happened and people were hurt and being white just glad he was stopped now matter his race,0,11006,1.0,['all_groups']
save the land join the clan lol nah alllivesmatter,0,5325,1.0,['all_groups']
the greatest injustice in the black community is how we kill each other and blame it on the white man this is due to brainwashing by the demokkkrats so stop blaming confederate statues white supremacy and the national anthem and take a look in the mirror,0,7251,1.0,['all_groups']
was born in the us my race is white aka european i studied politics economics and philosophy in college now i would still know us,0,1778,1.0,['all_groups']
and then national socialist party shall take over,0,6754,1.0,['all_groups']
no let black people have equal access to resources and eliminate the root causes of the violence,0,3403,1.0,['all_groups']
we re not paying for a freaking wall ya freaks getreal nobannowall,0,18330,1.0,['all_groups']
there is a flurry of tweets and articles claiming to be the original altright and kill all jews yay hitler white purity,0,7514,1.0,['all_groups']
islam liberalism is dividing white people against each other white people hate white people more than anyone divide and conquer,0,14313,1.0,['all_groups']
trump wh separates itself from obama highlights nativity scene via,0,205,1.0,['all_groups']
wow the libertarian party just got false flagged,0,12901,1.0,['all_groups']
what s normal can be altered the cultural marxists have done a good job of surreptitiously messing nor,0,16507,1.0,['all_groups']
cuz i m white the same qualified non white competing for the same job may lose out to me becuse the employer is racist,0,16872,1.0,['all_groups']
implying that black people still dont deal with the same level of racism,0,1159,1.0,['all_groups']
i want to go to support nationalism,0,17926,1.0,['all_groups']
hate white people,0,8499,1.0,['all_groups']
when a white person runs three k s together coincidently they are considered racist just saying,0,6423,1.0,['all_groups']
rt what president elect donald trump is doing is absolutely accurate and right on the mark airforceone,0,8420,1.0,['all_groups']
lmao sorry,0,567,1.0,['all_groups']
look at your feedback fair not what you expected yep people hate you,0,5197,1.0,['all_groups']
jihadis never ever abandon caliphate be not fooled they take a long term view,0,1473,1.0,['all_groups']
we ll any less than three and it s a failure i m a year older than you i m gonna have some soon,0,10091,1.0,['all_groups']
speaking of my pic with the great anti jihadist author robert spencer at private gathering hamilto,0,2568,1.0,['all_groups']
trump blamed groups by name who were victimized and whose 1st a rights were violated by antifa cop,0,16446,1.0,['all_groups']
oh yes it did plus the left s overreach after the event caused them to look foolish during barcelona and berkeley,0,4321,1.0,['all_groups']
southern nationalists cannot continue to look to federal leaders to save our ideals south has carried g,0,17251,1.0,['all_groups']
dismiss fin secretary for fooling you mr pm on his ability to handle the matter pl resign,0,372,1.0,['all_groups']
do you think disaffected whites will be turned off by american aesthetics,0,5920,1.0,['all_groups']
as a jew i m always confused if i m white or not someone help,0,8579,1.0,['all_groups']
like i ve said before they want some antifa shot dead,0,5190,1.0,['all_groups']
as far as cuck knight your probably right he was an instigator,0,306,1.0,['all_groups']
can you describe exactly what sneak attack was antifa hitting w baseball bats throwing stuff punching,0,343,1.0,['all_groups']
4 he did not cooperate with police obstruction of justice,0,15819,1.0,['all_groups']
here s an example scenario christmas black family doesn t have as much money as white family white presents better,0,18703,1.0,['all_groups']
german govt forbade police to name north,0,43,1.0,['all_groups']
automobile engineer ferdinand porsche presents hitler with a convertible volkswagen for adolf hitler s 50th birthday,0,15017,1.0,['all_groups']
trump speaking in south west virginia at 3pm should be interesting pass it on,0,19001,1.0,['all_groups']
i lived in memphis temporarily for 26 years the democrat politics were like new orleans as soon a,0,2311,1.0,['all_groups']
didnt they know god showed himself 2 daniel hair like pure wool jesus said u see me u hav seen god the father sounds black 2 me,0,13219,1.0,['all_groups']
facebook is anti white,0,13242,1.0,['all_groups']
the purpose of daca is to protect eligible immigrant youth who came to the united states when they were children from deportation time to,0,9075,1.0,['all_groups']
rt for the second time cernovich has made a periscope about his power over the alt right and deleted it,0,1972,1.0,['all_groups']
conservatism in the us means libertarianism only which goes even further than classical liberalism,0,15704,1.0,['all_groups']
trump plays the foolish liberal media like a fiddle and they fall for it every time,0,1756,1.0,['all_groups']
poll flawed didn t offer option of enforcement not just amnesty or deportation iowadebate,0,6685,1.0,['all_groups']
we re all immigrants who had to overcome racist immigration laws why do you hate america competentgovernance,0,15579,1.0,['all_groups']
probably cause their pos gov is antifa supporter,0,17206,1.0,['all_groups']
cuckservatives trump s white nationalist fans discredit his candidacy via,0,15074,1.0,['all_groups']
micah johnson the dallas police killer specifically targeted white cops so why isn t obama giving us a lecture on how racist he was hmmm,0,2424,1.0,['all_groups']
holocaust debate comments news belgian jewish newspaper freaks over siegfried verbeke interview he sa,0,15795,1.0,['all_groups']
anybody who really cares about women would never advocate abortion,0,7659,1.0,['all_groups']
i live a few blocks from a liberal university i would love to get some of these posters,0,3266,1.0,['all_groups']
doctored allied interrogation material holohoax promoters will certainly dislike this from aspects of th,0,9297,1.0,['all_groups']
she was the antifa with the long lens camera,0,7199,1.0,['all_groups']
melania was a model never hurt anyone but heidi cruz is a corrupt to the core globalist and bush crony there is no comparison,0,584,1.0,['all_groups']
hey guys,0,4095,1.0,['all_groups']
all muslims are political do you ever read any of the links from or,0,16776,1.0,['all_groups']
you ve been to the southside of chicago bro,0,8354,1.0,['all_groups']
the realist report interviews eric hunt transcript via,0,4458,1.0,['all_groups']
pl note trump is not racist this is false propaganda of opponents,0,18111,1.0,['all_groups']
antifa and splc doxx people do they not,0,7657,1.0,['all_groups']
i am now and will always be a jew who is considered white you i haven t a clue but yo,0,18448,1.0,['all_groups']
is there a dunce cap under that hood would explain the pointy part,0,13393,1.0,['all_groups']
death threat be warned white men national review white working class deserve to die via,0,979,1.0,['all_groups']
i just want everyone to know that alliance defending freedom is a hate group why is this group prominently attac,0,10208,1.0,['all_groups']
sweden policeman caught by violent mob inside muslim area left alone by colleagues for fear of riots,0,3510,1.0,['all_groups']
uk s guardian for decades western men have hijacked the language of women s liberation to justify their isl,0,16680,1.0,['all_groups']
yes the truth is he you and all white supremacists are pure evil,0,10175,1.0,['all_groups']
jindal the medieval christian threat is under control mr president hahahaha,0,3750,1.0,['all_groups']
the trucons,0,72,1.0,['all_groups']
about black solutions or to white people about black problems,0,8469,1.0,['all_groups']
the media definitely wanted to make a shitshow out of it like charlottesville and clai,0,10910,1.0,['all_groups']
2 of course i have more in common with white people because your idea that race is nothing but skin color is blatantly false this is a cartoonish platitude that you really should ve picked up on when you were a child 3,0,13876,1.0,['all_groups']
is it racist to secure the borders,0,18764,1.0,['all_groups']
site for national holocaust monument unveiled continue to educate future generations about the unique horror,0,9016,1.0,['all_groups']
great interview well spoken and appealing,0,16045,1.0,['all_groups']
it was white europeans that birthed america why hand it over to cult,0,4210,1.0,['all_groups']
identity evropa just hit 10k followers thank you for all of your support remember that together we have the power to decide our own fate,0,5103,1.0,['all_groups']
people who use the american flag as a symbol of civic nationalism are clueless do the,0,654,1.0,['all_groups']
combining iq and bmi both total averages are a 47,0,2176,1.0,['all_groups']
actually impressed that they accurately described him as a white nationalist rather than a white supremacist,0,10401,1.0,['all_groups']
genocide against your people forced sterilization in the usa what are you talking about trump ending the cam program is good for all us citizens but it s not about preserving the white race it s closing another loophole for illegal immigration,0,1935,1.0,['all_groups']
ultraliberal hipster williamsburg brooklyn is 51 white guess the of white students in a typical public elementary school there,0,5450,1.0,['all_groups']
mt planned parenthood number 1 enemy of access birthcontrol abortionpill tcot,0,1527,1.0,['all_groups']
whitelivesmatter wakeupamerica workingclass whitepower,0,13,1.0,['all_groups']
thats the same as declairing war on white america challenge excepted its killin time,0,6304,1.0,['all_groups']
