Unnamed: 0.1,Unnamed: 0,text,label,id,toxicity_score,target_groups
6994,5297,minnesota has a muslim problem not a recruiting problem plenty of 3rd world refugee parasites here tcot,1,19564,2.25,['all_groups']
1384,1475,why i don t care for the jews,1,5551,2.25,['all_groups']
4004,8883,this is a comprehensive interactive map of every hate crime hoax for the past 2 1 2 years,0,9111,1.0,['all_groups']
4128,7310,hac on the bill white case and economics,0,4078,1.0,['all_groups']
3489,8993,rt mentioning an entity like white christian america without the requisite tone of contempt or shame is needless to say highly suspicious,0,16662,1.0,['all_groups']
2670,11822,why do those who hate hindus have a special hatred for brahmins,0,13810,1.0,['all_groups']
5733,13092,as always deluded white pepo antifa right now is white bourgeois,0,10354,1.0,['all_groups']
1841,9895,1 are we raising racists illustrates everything that is wrong with our media and education system,0,15814,1.0,['all_groups']
1996,3989,moscow or pakistan wr whiteresistance whitegenocide,1,15313,2.25,['all_groups']
3534,4514,we are losing our country and you idiots don t care too scared to stand up and fight against obama n politician illegals,1,17391,2.25,['all_groups']
6628,2299,just like a secular jew christian,1,8858,2.25,['all_groups']
5114,7433,pm narendra modi s address at 69th session of unga the entire speech international yoga day,0,4346,1.0,['all_groups']
1086,2805,whites can t be racist towards jews jews have more institutional power,1,11052,2.25,['all_groups']
5505,4415,every single day u whites lose more ground,1,16906,2.25,['all_groups']
757,9373,uk muslims outraged by question how islamic is islamic state,0,17370,1.0,['all_groups']
4705,3196,follow it s not islamophobia when they are trying to kill you,1,12337,2.25,['all_groups']
7029,11183,comparing blacks calling out white supremacy as being like white supremacists shows you have a serious problem with comprehending,0,17788,1.0,['all_groups']
3942,5049,call me racist idgaf these muslims deserve no respect they want to breed with kids 9yrs,1,19277,2.25,['all_groups']
6075,1615,is white race history 1 10 babies born in usa now multi racial in 1970 it was 1 100,1,6090,2.25,['all_groups']
825,3501,i can see that given the history of the white race being enslaved lynched and discriminated against behind the word,1,13326,2.25,['all_groups']
1434,2701,maybe because all these black people would rob and shoot the first white person they see come in there,1,10706,2.25,['all_groups']
7089,14023,white flight from southern democrats doomed landrieu via,0,16519,1.0,['all_groups']
5974,8645,i am of the opinion that the majority of american and european jews are white dylann roof,0,15707,1.0,['all_groups']
3436,5681,i want to go to usa to earn good money english speaking white no stds no aids no sickness no chancr,1,19978,2.25,['all_groups']
3921,11480,no one else does either they don t exist all i do is for principles in un decl of human rights,0,1542,1.0,['all_groups']
